slug,toolName,category,siteOrigin,siteOriginEvidence,officialUrl,officialSourceUrl,pricingText,currency,monthlyPrice,pricingSourceUrl,sourcesCount,lastReviewed,verifiedAt,pricingStatus,needsReview,reviewReason
midjourney,Midjourney,image,overseas,Midjourney Inc. (US),https://www.midjourney.com,https://docs.midjourney.com/hc/en-us/articles/27870484040333-Comparing-Midjourney-Plans,"$10/月（Basicプラン・月払い）／$8/月（年払い）",USD,$10,https://docs.midjourney.com/hc/en-us/articles/27870484040333-Comparing-Midjourney-Plans,5,2026-06-06,2026-06-08,confirmed,no,公式ドキュメントURL・USD表記・海外サービス全て一致
ideogram,Ideogram,image,overseas,Ideogram AI Inc. (US),https://ideogram.ai/,https://docs.ideogram.ai/plans-and-pricing/available-plans,要公式確認,USD,要確認,https://docs.ideogram.ai/plans-and-pricing/available-plans,6,2026-06-14,2026-06-18,partial,yes,pricingSourceUrl・pricingSourceNote追加（2026-06-18）。currency=USD設定済み・月額は要公式確認。needsReview継続
canva-ai-image-generator,Canva AI画像生成,image,overseas,Canva Pty Ltd (Australia),https://www.canva.com,https://www.canva.com/pricing/,"$15/月（Canva Pro・月払い）／$120/年",USD,$15,https://www.canva.com/pricing/,6,2026-06-15,2026-06-15,confirmed,no,公式料金URLあり・USD表記・海外サービス一致
capcut-ai,CapCut AI,video,overseas,ByteDance Ltd. (China),https://www.capcut.com/,https://www.capcut.com/help/new-capcut-subscription-pricing,"地域・プラットフォームにより異なる。アプリ内で確認推奨。",N/A,要確認,https://www.capcut.com/help/new-capcut-subscription-pricing,7,2026-06-15,2026-06-15,no_fixed_price,no,公式が「アプリ内確認」案内のため金額未定義は適切
fotor-ai,Fotor AI,image,overseas,Everimaging Ltd. (Hong Kong),https://www.fotor.com/jp/ai-image-generator/,https://www.fotor.com/jp/pricing/,"Basic無料プランあり（US$0）・有料プランは公式ページ参照",USD,要確認,https://www.fotor.com/jp/pricing/,7,2026-06-19,2026-06-19,partial,yes,公式料金ページでUSD確認（2026-06-19・Basic: US$0表記）。Pro/Pro+月額は動的ロード非表示・needsReview継続
gemini-image-generation,Gemini画像生成,image,overseas,Google LLC (US),https://gemini.google/jp/overview/image-generation/?hl=ja-JP,https://policies.google.com/terms/generative-ai/use-policy,Google AIプランで利用可。無料枠・有料枠あり,USD,要確認,https://gemini.google.com/advanced?hl=ja,5,2026-06-13,2026-06-18,partial,yes,Gemini Advanced公式ページをpricingSourceUrlに追加（2026-06-18）。独立料金なし・有料プランはGoogle One AI Premium相当。具体的月額は公式サイトで確認要
clipdrop,Clipdrop,image,overseas,Stability AI Ltd. (UK/US),https://clipdrop.co/,https://clipdrop.co/pricing,"無料枠あり（機能別20〜50回/24時間）。有料プランは公式ページ参照。",Unknown,要確認,https://clipdrop.co/pricing,6,2026-06-21,2026-06-18,partial,yes,公式料金ページ再確認（2026-06-21）。Proプラン料金「--per month」で金額非開示のまま変更なし。currency=Unknown・月額未確認。needsReview継続
luma-ai,Luma AI,video,overseas,Luma AI Inc. (US),https://lumalabs.ai/,https://lumalabs.ai/pricing,"$30/月（Plusプラン・月払い）。Plus/Pro/Ultra三段階。",USD,$30,https://lumalabs.ai/pricing,6,2026-06-15,2026-06-15,confirmed,no,公式料金URLあり・USD表記・海外サービス一致
invideo-ai,InVideo AI,video,overseas,InVideo Inc. (US/India),https://invideo.io,https://invideo.io/pricing/,"約$20/月〜（透かしあり無料プランあり）",USD,$20,https://invideo.io/pricing/,5,2026-06-15,2026-06-15,confirmed,no,公式料金URLあり・USD表記・「約」付きで精度注意
pixverse,PixVerse,video,overseas,PixVerse (China),https://pixverse.ai,https://pixverse.ai/en/terms-of-service,"要公式確認",unknown,要確認,unknown,4,2026-06-21,2026-06-17,unconfirmed,yes,公式料金ページ再確認（2026-06-21）。pixverse.ai/pricing・pixverse.ai/en/pricing ともに404。コンシューマー向け料金ページURL引き続き未確認。unconfirmed維持
playground-ai,Playground AI,image,overseas,Playground AI Inc. (US),https://playground.com/,https://playground.com/design/pricing,"$12/月（Pro年払い）／$15/月（月払い）。無料プランあり（非商用・3時間10枚制限）。",USD,$12,https://playground.com/design/pricing,5,2026-06-06,2026-06-08,confirmed,no,公式料金URLあり・USD表記・海外サービス一致
